2026-07-06 01:28:40,770	WARNING algorithm_config.py:2530 -- DeprecationWarning: `config.training(learner_config_dict=..)` has been deprecated. Use `config.learners(learner_config_dict=..)` instead. This will raise an error in the future!
2026-07-06 01:28:40,771	WARNING algorithm_config.py:5177 -- You are running PPO on the new API stack! This is the new default behavior for this algorithm. If you don't want to use the new API stack, set `config.api_stack(enable_rl_module_and_learner=False,enable_env_runner_and_connector_v2=False)`. For a detailed migration guide, see here: https://docs.ray.io/en/master/rllib/new-api-stack-migration-guide.html
2026-07-06 01:28:43,250	INFO worker.py:2024 -- Started a local Ray instance.
[2026-07-06 01:28:44,078 E 25610 6814650] core_worker.cc:2149: Actor with class name: 'SingleAgentEnvRunner' and ID: '387591bdea50ac7028746b9501000000' has constructor arguments in the object store and max_restarts > 0. If the arguments in the object store go out of scope or are lost, the actor restart will fail. See https://github.com/ray-project/ray/issues/53727 for more details.
[36m(SingleAgentEnvRunner pid=25675)[0m DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 01:28:46,045	WARNING rl_module.py:463 -- DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 01:28:46,066	WARNING util.py:62 -- Install gputil for GPU system monitoring.
{'iter': 27, 'env_steps': 884736, 'episode_return_mean': np.float64(867.34375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.05916055291891098), 'wall_s': 1065.0}
{'iter': 28, 'env_steps': 917504, 'episode_return_mean': np.float64(865.8125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.05465252324938774), 'wall_s': 1102.5}
{'iter': 29, 'env_steps': 950272, 'episode_return_mean': np.float64(863.8125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.05976680666208267), 'wall_s': 1138.9}
{'iter': 30, 'env_steps': 983040, 'episode_return_mean': np.float64(863.53125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.05614537000656128), 'wall_s': 1175.5}
{'iter': 31, 'env_steps': 1015808, 'episode_return_mean': np.float64(866.5625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.05027228221297264), 'wall_s': 1212.8}
{'iter': 32, 'env_steps': 1048576, 'episode_return_mean': np.float64(869.4375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.05727512016892433), 'wall_s': 1257.2}
{'iter': 33, 'env_steps': 1081344, 'episode_return_mean': np.float64(863.53125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.05720548704266548), 'wall_s': 1300.5}
{'iter': 34, 'env_steps': 1114112, 'episode_return_mean': np.float64(867.03125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.06094943732023239), 'wall_s': 1341.6}
{'iter': 35, 'env_steps': 1146880, 'episode_return_mean': np.float64(862.28125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.064784936606884), 'wall_s': 1384.0}
{'iter': 36, 'env_steps': 1179648, 'episode_return_mean': np.float64(862.03125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.06297767907381058), 'wall_s': 1429.9}
